Stations, Start, End 
"ashley crescent, battersea",141,138
"hibbert street, battersea",144,135
"norton folgate, liverpool street",176,182
"dunston road , haggerston",169,190
"george row, bermondsey",236,221
"kingsway, covent garden",82,88
"bishop's bridge road east, bayswater",71,59
"santos road, wandsworth",37,22
"arundel street, temple",151,155
"jewry street, aldgate",175,175
"elysium place, fulham",48,51
"crinan street, king's cross",59,62
"king edward street, st pauls",93,99
"triangle car park, hyde park",167,171
"putney rail station, putney",54,54
"mexfield road, east putney",30,29
"tachbrook street, victoria",186,190
"albert embankment, vauxhall",145,138
"hampton street, walworth",169,160
"clarges street, mayfair",70,75
"buckingham gate, westminster",201,184
"rifle place, avondale",56,54
"culvert road, battersea",69,50
"putney bridge road, east putney",57,43
"oxford road, putney",42,36
"victoria & albert museum, south kensington",150,154
"clifton road, maida vale",157,174
"ferndale road, brixton",203,200
"sardinia street, holborn",197,275
"bramham gardens, earl's court",331,247
"exhibition road museums 2, south kensington",175,174
"whiston road, haggerston",119,103
"spanish road, clapham junction",46,32
"felsham road, putney",102,84
"clinton road, mile end",111,118
"chapel place, marylebone",206,204
"st. luke's church, chelsea",191,192
"black lion gate, kensington gardens",372,344
"houghton street, strand",145,148
"import dock, canary wharf",213,227
"westferry circus, canary wharf",40,24
"portman square, marylebone",151,148
"kennington road post office, oval",147,140
"wapping high street, wapping",99,102
"durant street, bethnal green",146,130
"greycoat street , westminster",91,95
"walmer road, avondale",56,50
"wenlock road , hoxton",223,183
"millennium hotel, mayfair",13,11
"ladbroke grove central, ladbroke grove",39,30
"hertford road, de beauvoir town",153,120
"hurlingham park, parsons green",51,49
"farringdon street, holborn",124,113
"stonecutter street, holborn",136,114
"wood street, guildhall",67,111
"carnegie street, king's cross",158,101
"palace gate, kensington gardens",208,207
"abingdon green, westminster",201,202
"southwark street, bankside",59,73
"lavington street, bankside",14,13
"evesham street, avondale",36,52
"clapham common north side, clapham common",147,132
"new north road 2, hoxton",108,86
"new spring gardens walk, vauxhall",10,12
"lansdowne walk, ladbroke grove",31,26
"hermitage court, wapping",133,143
"london zoo,  the regent's park",66,67
"kings gate house, westminster",10,16
"fore street, guildhall",100,135
"queen's gate, kensington gardens",29,43
"the tennis courts, the regent's park",121,122
"here east north, queen elizabeth olympic park",18,15
"lord's, st. john's wood",34,15
"birkenhead street, king's cross",10,17
"battersea power station, battersea park",16,13
"here east south, queen elizabeth olympic park",4,3
